,Spirotrichea,Rhodothermia,Ktedonobacteria,Bigyra,Tremellomycetes,Oligohymenophorea,Harpellomycetes,Saccharomycetes,Pezizomycetes,Thermococci,Neocallimastigomycetes,Heterotrichea,Thermoleophilia,Caldilineae,Coriobacteriia,Dinophyceae,Dehalococcoidia,Candidatus Lambdaproteobacteria,Chlamydiia,Choanoflagellata,Clostridia,Erysipelotrichia,Nitrospinia,Chrysiogenetes,Thermotogae,Fusobacteriia,Negativicutes,Thermoanaerobaculia,Gemmatimonadetes,Abditibacteria,Bacillariophyceae,Methanococci,Methanopyri,Mortierellomycetes,Chlorobia,Candidatus Thermofonsia,Bacteroidia,Deferribacteres,Spirochaetia,Agaricomycetes,Methanobacteria,Saprospiria,Candidatus Termititenacia,Oomycetes,Dothideomycetes,Malasseziomycetes,Thermoprotei,Chthonomonadetes,Nitrospira,Bacilli,Sphingobacteriia,Candidatus Brocadiae,Aquificae,Spartobacteria,Acidithiobacillia,Candidatus Fermentibacteria (class),Cytophagia,Hydrogenophilalia,Tissierellia,Blastocladiomycetes,Chitinophagia,Phaeophyceae,Trebouxiophyceae,Fibrobacteria,Epsilonproteobacteria,Lentisphaeria,Candidatus Cryosericia,Flavobacteriia,Eumycetozoa,Deinococci,Eurotiomycetes,Kinetoplastea,Mollicutes,Kiritimatiellae,Armatimonadia,Gammaproteobacteria,Actinobacteria,Halobacteria,Anaerolineae,Alphaproteobacteria,Dictyoglomia,Zetaproteobacteria,Betaproteobacteria,Opitutae,Chloroflexia,Synergistia,Thermoplasmata,Deltaproteobacteria,Aconoidasida,Ignavibacteria,Mamiellophyceae,Phycisphaerae,Sordariomycetes,Verrucomicrobiae,Methylacidiphilae,Blastocatellia,Conoidasida,Planctomycetia,Oligoflexia,Acidobacteriia,Haptophyta,Holophagae,Ustilaginomycetes,Coscinodiscophyceae,Vicinamibacteria,Microbotryomycetes,Acidimicrobiia,Leotiomycetes,Balneolia,Theionarchaea,Chitinivibrionia,Candidatus Riflemargulisbacteria,Methanomicrobia,Thermodesulfobacteria,Bangiophyceae,Candidatus Ozemobacteria,Ardenticatenia,Nitriliruptoria,Exobasidiomycetes,Candidatus Poseidoniia,Chytridiomycetes,Rubrobacteria,Elusimicrobia,Archaeoglobi,Chlorophyceae,Calditrichae,Variosea,Candidatus Marinamargulisbacteria,Cryptophyceae,Chitinispirillia,Hadesarchaea,Litostomatea
donkey1,0.0,0.0,4.266211604095569e-05,0.0,0.0,8.532423208191139e-05,0.0,0.0,0.0,0.0001279863481228,0.0001706484641638,0.0001279863481228,0.0002133105802047,8.532423208191139e-05,0.0200938566552901,4.266211604095569e-05,8.532423208191139e-05,0.0,0.0006399317406143,0.0002133105802047,0.4229522184300346,0.0075085324232082,4.266211604095569e-05,0.0002559726962457,0.0010665529010238,0.0024317406143344,0.0121587030716723,8.532423208191139e-05,0.00089590443686,0.0,0.0,0.0,0.0,0.0,0.0005119453924914,0.0001279863481228,0.1624146757679183,0.0005972696245733,0.0265358361774744,0.0012798634812286,0.0006399317406143,0.0007679180887372,0.0005546075085324,8.532423208191139e-05,0.0005972696245733,0.0002133105802047,0.0,0.0004692832764505,0.000938566552901,0.0312286689419795,0.0043941979522184,0.0005119453924914,0.0012372013651877,0.0010238907849829,0.0001706484641638,0.0003412969283276,0.0083617747440273,0.0002133105802047,0.0046928327645051,8.532423208191139e-05,0.0041382252559727,0.0002133105802047,0.0002133105802047,0.0238481228668942,0.0030716723549488,0.0088310580204778,0.0006399317406143,0.0110068259385665,0.0003839590443686,0.00089590443686,0.0011945392491467,0.0003839590443686,0.0026023890784982,0.0084044368600682,4.266211604095569e-05,0.0388651877133106,0.0362201365187713,0.0021331058020477,0.0019624573378839,0.0312286689419795,0.0003839590443686,0.0015358361774744,0.0148037542662116,0.0093003412969283,0.0004266211604095,0.0020051194539249,0.0023890784982935,0.0330204778156997,0.0004692832764505,0.0014078498293515,0.0003412969283276,0.0030716723549488,0.0015784982935153,0.0123720136518771,0.0005119453924914,0.0004266211604095,0.0003839590443686,0.0062286689419795,0.0021757679180887,0.0015358361774744,8.532423208191139e-05,0.0001706484641638,0.0001706484641638,0.0005119453924914,8.532423208191139e-05,0.0004266211604095,8.532423208191139e-05,0.0010665529010238,0.0002986348122866,8.532423208191139e-05,0.0001706484641638,0.0,0.0052474402730375,0.0004266211604095,0.0003412969283276,0.0002559726962457,0.0001706484641638,0.0003412969283276,8.532423208191139e-05,4.266211604095569e-05,0.0003412969283276,4.266211604095569e-05,0.0,0.0002986348122866,0.0002986348122866,0.0003412969283276,0.0004692832764505,8.532423208191139e-05,8.532423208191139e-05,0.0,0.0,0.0
donkey2,0.0,0.0,4.461099214846536e-05,8.922198429693072e-05,0.0,0.0,4.461099214846536e-05,0.0,0.0001338329764453,0.0003122769450392,4.461099214846536e-05,4.461099214846536e-05,0.0003568879371877,8.922198429693072e-05,0.0201195574589578,0.0,4.461099214846536e-05,8.922198429693072e-05,0.0009814418272662,0.0003122769450392,0.435224839400428,0.0088775874375446,0.0,0.0003122769450392,0.0009814418272662,0.0014275517487508,0.0103051391862955,4.461099214846536e-05,0.00057994289793,0.0,0.0,0.0,0.0,0.0,0.0006691648822269,0.0002676659528907,0.173135260528194,0.0001338329764453,0.0329675231977159,0.0009368308351177,0.0002676659528907,0.0009814418272662,0.0004014989293361,0.0002230549607423,0.0006691648822269,0.0,0.0001784439685938,4.461099214846536e-05,0.0009368308351177,0.0309154175588864,0.0034796573875802,0.0003122769450392,0.00057994289793,0.0010706638115631,0.0004014989293361,0.0003568879371877,0.0087437544610992,0.0002676659528907,0.0033012134189864,0.0,0.0042380442541042,0.0002230549607423,8.922198429693072e-05,0.0299785867237687,0.0027212705210563,0.0068254817987152,0.0007583868665239,0.0104835831548893,0.0002230549607423,0.0002230549607423,0.0009368308351177,0.0002230549607423,0.0016506067094932,0.0086099214846538,0.0001338329764453,0.0314953604568165,0.035376516773733,0.0010260528194147,0.0025874375446109,0.0258297644539614,0.0003568879371877,0.0010706638115631,0.0132940756602426,0.0082976445396145,0.0003122769450392,0.0019628836545324,0.0021413276231263,0.029532476802284,8.922198429693072e-05,0.0012044967880085,0.0002676659528907,0.0028551034975017,0.00057994289793,0.014097073518915,0.0001338329764453,0.0003122769450392,0.0008029978586723,0.0057102069950035,0.0021413276231263,0.0015613847251962,0.0005353319057815,0.0001784439685938,8.922198429693072e-05,0.0003122769450392,8.922198429693072e-05,0.0002230549607423,0.0002676659528907,0.0008029978586723,8.922198429693072e-05,4.461099214846536e-05,0.0001338329764453,0.0,0.0022305496074232,0.0003122769450392,0.0002230549607423,8.922198429693072e-05,8.922198429693072e-05,4.461099214846536e-05,0.0003568879371877,0.0,0.0006245538900785,8.922198429693072e-05,0.0001784439685938,0.0,0.0003122769450392,4.461099214846536e-05,0.00057994289793,0.0,0.0,0.0,0.0,0.0
donkey3,0.0,4.333694474539545e-05,8.667388949079091e-05,0.0,8.667388949079091e-05,8.667388949079091e-05,0.0001300108342361,8.667388949079091e-05,8.667388949079091e-05,0.0003033586132177,8.667388949079091e-05,0.0002600216684723,0.0005200433369447,4.333694474539545e-05,0.0222751895991332,0.0,4.333694474539545e-05,0.0002166847237269,0.0009100758396533,0.0002166847237269,0.4531310942578548,0.0075839653304442,4.333694474539545e-05,0.0001300108342361,0.0009534127843987,0.0017768147345612,0.0111375947995666,0.0001300108342361,0.0006067172264355,0.0,0.0,0.0,0.0,0.0,0.0006067172264355,0.0002166847237269,0.1721776814734561,0.0003466955579631,0.0243553629469122,0.0010400866738894,0.0012567713976164,0.0003033586132177,0.0006933911159263,0.0,0.0003466955579631,0.0001300108342361,0.0002600216684723,0.0001300108342361,0.0006933911159263,0.0307692307692307,0.0040303358613217,0.0004333694474539,0.0014734561213434,0.0013001083423618,0.0003033586132177,0.0001300108342361,0.0090140845070422,0.0002166847237269,0.0039869989165763,0.0001300108342361,0.0034669555796316,0.0001300108342361,0.0003033586132177,0.0187648970747562,0.00329360780065,0.0095774647887323,0.0003466955579631,0.010964247020585,0.0006933911159263,0.0006933911159263,0.0006933911159263,0.0004333694474539,0.0020801733477789,0.0086240520043336,0.0002600216684723,0.0344095341278439,0.0310292524377031,0.0019068255687974,0.0022101841820151,0.0243553629469122,0.0002166847237269,0.0010834236186348,0.0131310942578548,0.0098374864572047,0.0002166847237269,0.0016901408450704,0.0027302275189599,0.0265655471289274,0.0001733477789815,0.0013001083423618,0.0001300108342361,0.0023835319609967,0.0011700975081256,0.0117009750812567,0.0003033586132177,0.0002166847237269,0.0007367280606717,0.0048104008667388,0.0023835319609967,0.001646803900325,0.0003466955579631,8.667388949079091e-05,0.0,0.0003466955579631,0.0002600216684723,0.0003900325027085,0.0001300108342361,0.0010834236186348,0.0002600216684723,0.0,0.0002166847237269,8.667388949079091e-05,0.0023835319609967,0.0003466955579631,0.0,8.667388949079091e-05,0.0003033586132177,8.667388949079091e-05,0.0002166847237269,0.0003033586132177,0.0004333694474539,0.0,8.667388949079091e-05,4.333694474539545e-05,0.0002600216684723,0.0001300108342361,0.0001300108342361,0.0,0.0,0.0,0.0,0.0
donkey1,0.0,0.0,4.266211604095569e-05,0.0,0.0,8.532423208191139e-05,0.0,0.0,0.0,0.0001279863481228,0.0001706484641638,0.0001279863481228,0.0002133105802047,8.532423208191139e-05,0.0200938566552901,4.266211604095569e-05,8.532423208191139e-05,0.0,0.0006399317406143,0.0002133105802047,0.4229522184300346,0.0075085324232082,4.266211604095569e-05,0.0002559726962457,0.0010665529010238,0.0024317406143344,0.0121587030716723,8.532423208191139e-05,0.00089590443686,0.0,0.0,0.0,0.0,0.0,0.0005119453924914,0.0001279863481228,0.1624146757679183,0.0005972696245733,0.0265358361774744,0.0012798634812286,0.0006399317406143,0.0007679180887372,0.0005546075085324,8.532423208191139e-05,0.0005972696245733,0.0002133105802047,0.0,0.0004692832764505,0.000938566552901,0.0312286689419795,0.0043941979522184,0.0005119453924914,0.0012372013651877,0.0010238907849829,0.0001706484641638,0.0003412969283276,0.0083617747440273,0.0002133105802047,0.0046928327645051,8.532423208191139e-05,0.0041382252559727,0.0002133105802047,0.0002133105802047,0.0238481228668942,0.0030716723549488,0.0088310580204778,0.0006399317406143,0.0110068259385665,0.0003839590443686,0.00089590443686,0.0011945392491467,0.0003839590443686,0.0026023890784982,0.0084044368600682,4.266211604095569e-05,0.0388651877133106,0.0362201365187713,0.0021331058020477,0.0019624573378839,0.0312286689419795,0.0003839590443686,0.0015358361774744,0.0148037542662116,0.0093003412969283,0.0004266211604095,0.0020051194539249,0.0023890784982935,0.0330204778156997,0.0004692832764505,0.0014078498293515,0.0003412969283276,0.0030716723549488,0.0015784982935153,0.0123720136518771,0.0005119453924914,0.0004266211604095,0.0003839590443686,0.0062286689419795,0.0021757679180887,0.0015358361774744,8.532423208191139e-05,0.0001706484641638,0.0001706484641638,0.0005119453924914,8.532423208191139e-05,0.0004266211604095,8.532423208191139e-05,0.0010665529010238,0.0002986348122866,8.532423208191139e-05,0.0001706484641638,0.0,0.0052474402730375,0.0004266211604095,0.0003412969283276,0.0002559726962457,0.0001706484641638,0.0003412969283276,8.532423208191139e-05,4.266211604095569e-05,0.0003412969283276,4.266211604095569e-05,0.0,0.0002986348122866,0.0002986348122866,0.0003412969283276,0.0004692832764505,8.532423208191139e-05,8.532423208191139e-05,0.0,0.0,0.0
donkey2,0.0,0.0,4.461099214846536e-05,8.922198429693072e-05,0.0,0.0,4.461099214846536e-05,0.0,0.0001338329764453,0.0003122769450392,4.461099214846536e-05,4.461099214846536e-05,0.0003568879371877,8.922198429693072e-05,0.0201195574589578,0.0,4.461099214846536e-05,8.922198429693072e-05,0.0009814418272662,0.0003122769450392,0.435224839400428,0.0088775874375446,0.0,0.0003122769450392,0.0009814418272662,0.0014275517487508,0.0103051391862955,4.461099214846536e-05,0.00057994289793,0.0,0.0,0.0,0.0,0.0,0.0006691648822269,0.0002676659528907,0.173135260528194,0.0001338329764453,0.0329675231977159,0.0009368308351177,0.0002676659528907,0.0009814418272662,0.0004014989293361,0.0002230549607423,0.0006691648822269,0.0,0.0001784439685938,4.461099214846536e-05,0.0009368308351177,0.0309154175588864,0.0034796573875802,0.0003122769450392,0.00057994289793,0.0010706638115631,0.0004014989293361,0.0003568879371877,0.0087437544610992,0.0002676659528907,0.0033012134189864,0.0,0.0042380442541042,0.0002230549607423,8.922198429693072e-05,0.0299785867237687,0.0027212705210563,0.0068254817987152,0.0007583868665239,0.0104835831548893,0.0002230549607423,0.0002230549607423,0.0009368308351177,0.0002230549607423,0.0016506067094932,0.0086099214846538,0.0001338329764453,0.0314953604568165,0.035376516773733,0.0010260528194147,0.0025874375446109,0.0258297644539614,0.0003568879371877,0.0010706638115631,0.0132940756602426,0.0082976445396145,0.0003122769450392,0.0019628836545324,0.0021413276231263,0.029532476802284,8.922198429693072e-05,0.0012044967880085,0.0002676659528907,0.0028551034975017,0.00057994289793,0.014097073518915,0.0001338329764453,0.0003122769450392,0.0008029978586723,0.0057102069950035,0.0021413276231263,0.0015613847251962,0.0005353319057815,0.0001784439685938,8.922198429693072e-05,0.0003122769450392,8.922198429693072e-05,0.0002230549607423,0.0002676659528907,0.0008029978586723,8.922198429693072e-05,4.461099214846536e-05,0.0001338329764453,0.0,0.0022305496074232,0.0003122769450392,0.0002230549607423,8.922198429693072e-05,8.922198429693072e-05,4.461099214846536e-05,0.0003568879371877,0.0,0.0006245538900785,8.922198429693072e-05,0.0001784439685938,0.0,0.0003122769450392,4.461099214846536e-05,0.00057994289793,0.0,0.0,0.0,0.0,0.0
donkey3,0.0,4.333694474539545e-05,8.667388949079091e-05,0.0,8.667388949079091e-05,8.667388949079091e-05,0.0001300108342361,8.667388949079091e-05,8.667388949079091e-05,0.0003033586132177,8.667388949079091e-05,0.0002600216684723,0.0005200433369447,4.333694474539545e-05,0.0222751895991332,0.0,4.333694474539545e-05,0.0002166847237269,0.0009100758396533,0.0002166847237269,0.4531310942578548,0.0075839653304442,4.333694474539545e-05,0.0001300108342361,0.0009534127843987,0.0017768147345612,0.0111375947995666,0.0001300108342361,0.0006067172264355,0.0,0.0,0.0,0.0,0.0,0.0006067172264355,0.0002166847237269,0.1721776814734561,0.0003466955579631,0.0243553629469122,0.0010400866738894,0.0012567713976164,0.0003033586132177,0.0006933911159263,0.0,0.0003466955579631,0.0001300108342361,0.0002600216684723,0.0001300108342361,0.0006933911159263,0.0307692307692307,0.0040303358613217,0.0004333694474539,0.0014734561213434,0.0013001083423618,0.0003033586132177,0.0001300108342361,0.0090140845070422,0.0002166847237269,0.0039869989165763,0.0001300108342361,0.0034669555796316,0.0001300108342361,0.0003033586132177,0.0187648970747562,0.00329360780065,0.0095774647887323,0.0003466955579631,0.010964247020585,0.0006933911159263,0.0006933911159263,0.0006933911159263,0.0004333694474539,0.0020801733477789,0.0086240520043336,0.0002600216684723,0.0344095341278439,0.0310292524377031,0.0019068255687974,0.0022101841820151,0.0243553629469122,0.0002166847237269,0.0010834236186348,0.0131310942578548,0.0098374864572047,0.0002166847237269,0.0016901408450704,0.0027302275189599,0.0265655471289274,0.0001733477789815,0.0013001083423618,0.0001300108342361,0.0023835319609967,0.0011700975081256,0.0117009750812567,0.0003033586132177,0.0002166847237269,0.0007367280606717,0.0048104008667388,0.0023835319609967,0.001646803900325,0.0003466955579631,8.667388949079091e-05,0.0,0.0003466955579631,0.0002600216684723,0.0003900325027085,0.0001300108342361,0.0010834236186348,0.0002600216684723,0.0,0.0002166847237269,8.667388949079091e-05,0.0023835319609967,0.0003466955579631,0.0,8.667388949079091e-05,0.0003033586132177,8.667388949079091e-05,0.0002166847237269,0.0003033586132177,0.0004333694474539,0.0,8.667388949079091e-05,4.333694474539545e-05,0.0002600216684723,0.0001300108342361,0.0001300108342361,0.0,0.0,0.0,0.0,0.0
horse1,0.000416765896642,5.953798523457954e-05,5.953798523457954e-05,0.0001190759704691,0.0001190759704691,0.0002381519409383,0.0002381519409383,5.953798523457954e-05,0.0001190759704691,0.0007144558228149,0.0001786139557037,0.0005358418671112,0.0008335317932841,0.0002381519409383,0.0200643010240533,5.953798523457954e-05,0.0001190759704691,0.0001786139557037,0.0012502976899261,0.0002381519409383,0.5220290545367935,0.0089902357704215,5.953798523457954e-05,0.0002381519409383,0.0012502976899261,0.0017861395570373,0.010478685401286,0.0001190759704691,0.0010121457489878,0.0,0.0,0.0,0.0,0.0,0.0008930697785186,0.0,0.1685520361990947,0.0002976899261728,0.0395332221957608,0.0012502976899261,0.0009526077637532,0.001131221719457,0.0005358418671112,0.0001190759704691,0.0002976899261728,5.953798523457954e-05,0.0001786139557037,0.0002976899261728,0.0006549178375803,0.0242914979757084,0.0033341271731364,0.0006549178375803,0.0006549178375803,0.0006549178375803,0.0002976899261728,0.0002976899261728,0.0070850202429149,0.0001786139557037,0.0022029054536794,0.0001190759704691,0.0023219814241486,5.953798523457954e-05,0.0001190759704691,0.0203024529649916,0.0023219814241486,0.0061919504643962,0.0004763038818766,0.0075613241247916,0.0002381519409383,0.0003572279114074,0.0005358418671112,0.0001190759704691,0.0016075256013336,0.0060133365086925,5.953798523457954e-05,0.0249464158132888,0.0200643010240533,0.0007144558228149,0.0016670635865682,0.0189330793045962,0.0002381519409383,0.0005358418671112,0.0086925458442486,0.0066087163610383,0.0002976899261728,0.0010716837342224,0.0016075256013336,0.0196475351274112,0.0001786139557037,0.0010716837342224,0.0001786139557037,0.0014884496308644,0.0007144558228149,0.0070254822576803,0.0003572279114074,0.0002381519409383,0.0005953798523457,0.0027982853060252,0.0013098356751607,0.0011907597046915,5.953798523457954e-05,0.0,5.953798523457954e-05,0.0002976899261728,5.953798523457954e-05,0.0002381519409383,0.0001190759704691,0.0002381519409383,0.0001190759704691,5.953798523457954e-05,0.0001190759704691,0.0,0.001131221719457,0.0001786139557037,0.0,5.953798523457954e-05,5.953798523457954e-05,5.953798523457954e-05,0.0001190759704691,0.0,5.953798523457954e-05,0.0,0.0,5.953798523457954e-05,5.953798523457954e-05,0.0,5.953798523457954e-05,0.0,0.0,0.0,0.0,0.0
horse2,7.731560228854178e-05,3.865780114427089e-05,0.0003479202102984,0.000154631204577,7.731560228854178e-05,0.0,7.731560228854178e-05,0.0,3.865780114427089e-05,0.0002319468068656,0.0002706046080098,0.000154631204577,0.0003092624091541,0.0,0.0362996752744703,0.0,3.865780114427089e-05,3.865780114427089e-05,0.0008504716251739,0.000154631204577,0.5635147672800368,0.0091618988711922,3.865780114427089e-05,0.0002319468068656,0.0006958404205968,0.0022808102675119,0.0132596257924849,0.0,0.0004638936137312,7.731560228854178e-05,0.0,7.731560228854178e-05,7.731560228854178e-05,0.000154631204577,0.0003865780114427,0.0002319468068656,0.1751971547858357,0.0003865780114427,0.0180145353332302,0.0009277872274625,0.0006571826194526,0.0003479202102984,0.0001932890057213,0.0,0.0003865780114427,0.0001159734034328,7.731560228854178e-05,0.0,0.0004252358125869,0.0240451523117364,0.0026287304778104,0.0002319468068656,0.0008504716251739,0.0010437606308953,0.000154631204577,7.731560228854178e-05,0.005721354569352,0.0001159734034328,0.0033245708984072,3.865780114427089e-05,0.001855574454925,0.0001932890057213,0.000154631204577,0.0126024431730323,0.002010205659502,0.0045616205350239,0.0004638936137312,0.0061079325807948,0.0002706046080098,0.0003479202102984,0.0007731560228854,0.0002706046080098,0.0009277872274625,0.0039817535178599,0.000154631204577,0.0191742693675583,0.0198701097881552,0.0012370496366166,0.0013916808411937,0.0139168084119375,7.731560228854178e-05,0.0006185248183083,0.0077315602288541,0.0043683315293026,0.0001932890057213,0.0011210762331838,0.0012370496366166,0.0132209679913406,3.865780114427089e-05,0.0004252358125869,7.731560228854178e-05,0.0017396010514921,0.0005412092160197,0.0056440389670635,0.0001159734034328,7.731560228854178e-05,0.0002319468068656,0.0029379928869645,0.001005102829751,0.0007344982217411,0.000154631204577,0.0,0.0,3.865780114427089e-05,0.0,0.0001159734034328,0.0,0.0005412092160197,0.000154631204577,0.0,3.865780114427089e-05,3.865780114427089e-05,0.0011597340343281,7.731560228854178e-05,0.0002319468068656,0.0,0.0,3.865780114427089e-05,0.0,3.865780114427089e-05,3.865780114427089e-05,3.865780114427089e-05,0.0,0.0,7.731560228854178e-05,3.865780114427089e-05,0.0,0.0,0.0,0.0,0.0,0.0
horse3,0.0,0.0001531686770055,0.0002680451847597,3.829216925138805e-05,3.829216925138805e-05,0.0001531686770055,7.65843385027761e-05,0.0001148765077541,0.0002680451847597,0.0003446295232624,3.829216925138805e-05,0.0,0.000497798200268,7.65843385027761e-05,0.0321271300019145,0.0,7.65843385027761e-05,0.0001914608462569,0.001187057246793,0.0005360903695194,0.542140532261152,0.0094198736358414,0.0,0.0003063373540111,0.0012636415852958,0.0019146084625694,0.0115259429446678,0.0001531686770055,0.0006509668772735,0.0,3.829216925138805e-05,0.0,0.0,0.0,0.000497798200268,0.0003446295232624,0.1314187248707637,0.0003063373540111,0.0194524219797051,0.0007658433850277,0.0003446295232624,0.0003446295232624,0.0007275512157763,0.0001531686770055,0.0007275512157763,0.0001148765077541,0.0001148765077541,0.0002297530155083,0.000995596400536,0.0260386750909438,0.0035228795711277,0.0001148765077541,0.0011104729082902,0.000995596400536,0.0002297530155083,0.0002680451847597,0.0073520964962665,0.0002297530155083,0.0033314187248707,0.0,0.0044801838024124,0.0001531686770055,0.0001531686770055,0.0179973195481523,0.0020294849703235,0.0068542982959984,0.0002680451847597,0.008692322420065,0.0003829216925138,0.0005360903695194,0.0006126747080222,0.0003063373540111,0.001684855447061,0.0070840513115067,7.65843385027761e-05,0.0255791690599272,0.0283362052460271,0.0013785180930499,0.0013785180930499,0.0201033888569787,0.0003063373540111,0.0012253494160444,0.0099942561746122,0.0065862531112387,0.0001148765077541,0.0013785180930499,0.001684855447061,0.0220562894887995,0.0002297530155083,0.0008807198927819,0.0001914608462569,0.0017997319548152,0.0007275512157763,0.0100325483438636,7.65843385027761e-05,0.0002297530155083,0.0002680451847597,0.0036377560788818,0.0013785180930499,0.0006892590465249,0.0003063373540111,0.0002297530155083,7.65843385027761e-05,0.0002680451847597,0.0001531686770055,0.0001531686770055,0.0001148765077541,0.0006509668772735,3.829216925138805e-05,0.0,7.65843385027761e-05,0.0,0.001876316293318,0.0001914608462569,0.0,0.0001148765077541,0.0001531686770055,7.65843385027761e-05,0.0001148765077541,7.65843385027761e-05,0.0003446295232624,0.0,7.65843385027761e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
